stable_ref,paragraph_id,run_start,run_end,internal_quote_chars,disposition,run_text
LDC.T07.1906-12-03.E001.P006,ldc_t07_1906_12_03_e001_p006,0,279,2,PRESERVED_INSIDE_RUN,"'Je ne veux accepter que les manières douces et paisibles parce que la douceur et la paix sont ce qui relient les cœurs. Alors, Je peux dire"
LDC.T07.1906-10-13.E001.P007,ldc_t07_1906_10_13_e001_p007,0,156,2,PRESERVED_INSIDE_RUN,'Est-ce ton désir d\'éloigner ce miroir de Mes créatures ? Pense à cela sérieusement. Ne désire pas Me contrarier en n\'écrivant pas tout de
LDC.T07.1906-03-13.E001.P008,ldc_t07_1906_03_13_e001_p008,0,167,2,PRESERVED_INSIDE_RUN,"'Pendant que le besoin de Moi grandit en toi, le besoin de toi grandit en Moi, et Je Me dis : ""Je vais vers elle pour donner du repos à Mon "
LDC.T07.1906-05-06.E001.P010,ldc_t07_1906_05_06_e001_p010,37,184,2,PRESERVED_INSIDE_RUN,"'Ma fille, ne sois pas effrayée ! Toi, Je ne te maudis pas. Non ! À toi, Je dis : ""Bénie, bénie mille fois !"" Pleure et prie pour tous ces v"
LDC.T08.1907-11-03.E001.P001,ldc_t08_1907_11_03_e001_p001,353,582,2,PRESERVED_INSIDE_RUN,"'Ma fille, Ma Volonté et la tienne ne font qu\'un, et si Je dis : ""Allons de l\'avant avec les châtiments"", ne dis-Je pas la même chose conc"
LDC.T08.1908-12-27.E001.P004,ldc_t08_1908_12_27_e001_p004,67,124,1,PRESERVED_INSIDE_RUN,"""et que Je lui répondais : «Je t'aime, Je t'aime, ô Maman."""
LDC.T08.1908-12-27.E001.P005,ldc_t08_1908_12_27_e001_p005,0,260,2,PRESERVED_INSIDE_RUN,"'Et Je n\'étais pas seul : à Mes ""Je t\'aime"", le Père, le Saint-Esprit ainsi que toute la création - les anges, les saints, les étoiles, le"
LDC.T08.1909-01-22.E001.P005,ldc_t08_1909_01_22_e001_p005,1,689,4,PRESERVED_INSIDE_RUN,"'Ma fille, tu parles sottement. À côté des ""dons spontanés"" que Je fais aux âmes, il y a les ""dons obligatoires"". Pour ce qui est des dons s"
LDC.T08.1909-01-27.E001.P005,ldc_t08_1909_01_27_e001_p005,1,67,2,PRESERVED_INSIDE_RUN,"'Ma fille, sais-tu qui tu es ? ""Luisa de la Passion du Tabernacle"".'"
LDC.T08.1909-01-30.E001.P005,ldc_t08_1909_01_30_e001_p005,215,297,2,PRESERVED_INSIDE_RUN,"'Les réponses à ces ""pourquoi"" ne sont pas écrites sur la terre, mais dans le Ciel.'"
LDC.T08.1909-01-27.E001.P006,ldc_t08_1909_01_27_e001_p006,0,567,4,PRESERVED_INSIDE_RUN,"'Quand Je te fais partager Mes souffrances, tu es ""du Calvaire"". Quand Je ne le fais pas, tu es ""du Tabernacle"". Vois comme cela est vrai. D"
LDC.T08.1909-01-30.E001.P006,ldc_t08_1909_01_30_e001_p006,0,223,6,PRESERVED_INSIDE_RUN,"'Là, tous liront les réponses. Sais-tu d\'où proviennent ces ""pourquoi"" ? De l\'égoïsme nourri par l\'amour de soi. Sais-tu où furent créés "
LDC.T08.1908-12-27.E001.P007,ldc_t08_1908_12_27_e001_p007,215,244,1,PRESERVED_INSIDE_RUN,"""Je lui dis aussi : «Je t'aime"""
LDC.T08.1909-01-27.E001.P007,ldc_t08_1909_01_27_e001_p007,0,247,1,PRESERVED_INSIDE_RUN,"'Par conséquent, si ta volonté est la même que lorsque Je te fais partager Mes Souffrances, si ton offrande est la même, si ton intérieur re"
LDC.T08.1909-01-30.E001.P007,ldc_t08_1909_01_30_e001_p007,0,181,2,PRESERVED_INSIDE_RUN,"'Les effets du premier ""pourquoi"" furent la perte de l\'innocence dans le Paradis terrestre, la guerre des passions indomptables, la ruine d"
LDC.T08.1909-01-30.E001.P008,ldc_t08_1909_01_30_e001_p008,0,142,4,PRESERVED_INSIDE_RUN,"'L\'histoire du ""pourquoi"" est longue. Il est suffisant de te dire qu\'il n\'est pas de maux dans le monde qui ne portent la marque du ""pour"
LDC.T08.1909-01-30.E001.P009,ldc_t08_1909_01_30_e001_p009,0,68,2,PRESERVED_INSIDE_RUN,"'Le ""pourquoi"" est la destruction de la Sagesse divine dans les âmes.'"
LDC.T08.1908-12-27.E001.P010,ldc_t08_1908_12_27_e001_p010,0,91,1,PRESERVED_INSIDE_RUN,"""Cela est suffisant pour qu'un Dieu les honore en leur répondant : «Je vous aime Moi aussi !"""
LDC.T08.1909-01-30.E001.P010,ldc_t08_1909_01_30_e001_p010,0,151,2,PRESERVED_INSIDE_RUN,"'Et sais-tu où le ""pourquoi"" sera enterré ? En enfer, pour y rendre les âmes perdues sans repos pour l\'éternité, sans qu\'elles puissent tr"
LDC.T08.1909-01-30.E001.P011,ldc_t08_1909_01_30_e001_p011,0,63,2,PRESERVED_INSIDE_RUN,"'L\'art du ""pourquoi"" est de faire la guerre aux âmes sans répit.'"
LDC.T08.1908-08-10.E001.P012,ldc_t08_1908_08_10_e001_p012,213,321,4,PRESERVED_INSIDE_RUN,"'L\'amour ne dit jamais ""assez"". Même si l\'amour fouette l\'âme et la met en pièces, ces pièces crient ""amour"".'"
LDC.T08.1908-08-10.E001.P013,ldc_t08_1908_08_10_e001_p013,0,95,2,PRESERVED_INSIDE_RUN,"'L\'Amour ne dit jamais ""assez"". Et, non content, Il pulvérise ces pièces. Il les réduit à néant.'"
LDC.T09.1909-11-25.E001.P002,ldc_t09_1909_11_25_e001_p002,1,668,1,PRESERVED_INSIDE_RUN,"'Ma fille, les hommes n\'ont agi que sur l\'écorce de Mon Humanité. Alors que l\'Amour éternel agissait sur tout Mon intérieur. Ainsi, duran"
LDC.T09.1910-07-04.E001.P008,ldc_t09_1910_07_04_e001_p008,0,149,4,PRESERVED_INSIDE_RUN,"""Si J'ai alors crié «Sitio !» («J'ai soif !»), il s'agissait de la soif extrême que Je ressentais que tous exhalent leur dernier souffle dan"
LDC.T09.1910-07-04.E001.P009,ldc_t09_1910_07_04_e001_p009,0,101,1,PRESERVED_INSIDE_RUN,"""En voyant que plusieurs allaient passer outre à ce désir, dans un profond chagrin, J'ai crié «Sitio !"""
LDC.T09.1910-07-04.E001.P010,ldc_t09_1910_07_04_e001_p010,0,110,2,PRESERVED_INSIDE_RUN,'Ce «Sitio !» continue encore à se faire entendre à tous et à chacun comme une cloche à la porte de leur cœur :'
LDC.T09.1910-07-04.E001.P011,ldc_t09_1910_07_04_e001_p011,1,307,1,PRESERVED_INSIDE_RUN,"'J\'ai soif de toi, ô âme. De grâce, ne sors jamais de Moi, mais entre en Moi et expire avec Moi."" Ainsi, J\'ai dédié six heures de Ma Passi"
LDC.T11.1912-08-20.E001.P001,ldc_t11_1912_08_20_e001_p001,64,404,1,PRESERVED_INSIDE_RUN,"'Ma fille, comme Je suis attristé quand Je vois une âme repliée sur elle-même et agissant par ses propres moyens. Je suis près d\'elle et la"
LDC.T11.1912-07-19.E001.P002,ldc_t11_1912_07_19_e001_p002,1,276,1,PRESERVED_INSIDE_RUN,"'Ma fille M\'envoie son rafraîchissement aussi à travers d\'autres. Parce que si elle n\'avait pas été attentive à M\'écouter, elle n\'aurai"
LDC.T11.1912-07-23.E001.P002,ldc_t11_1912_07_23_e001_p002,164,398,1,PRESERVED_INSIDE_RUN,"'Ma fille, ne t\'afflige pas pour quelque chose qui n\'en vaut pas la peine. Quant à Moi, plutôt que de M\'affliger pour ce qui t\'arrive, J"
LDC.T11.1912-08-20.E001.P002,ldc_t11_1912_08_20_e001_p002,0,360,1,PRESERVED_INSIDE_RUN,"'Par exemple : Je veux aimer, viens aimer avec Moi ; Je veux prier, viens prier avec Moi ; Je veux faire ce sacrifice, donne-Moi ta Force, c"
LDC.T11.1915-10-25.E001.P002,ldc_t11_1915_10_25_e001_p002,0,216,2,PRESERVED_INSIDE_RUN,"'Ma satisfaction est si grande que Je suis porté à répéter sans cesse : ""Ma Vie, Ma Vie !"" Quand Je pense à ce que Ma chère Maman souffrit, "
LDC.T11.1915-10-25.E001.P003,ldc_t11_1915_10_25_e001_p003,0,169,1,PRESERVED_INSIDE_RUN,"'Et quand Je vois que tu essaies de l\'imiter, Me suppliant de te laisser souffrir ce que les créatures Me font souffrir, Je suis porté à ré"
LDC.T11.1912-04-23.E001.P005,ldc_t11_1912_04_23_e001_p005,0,69,2,PRESERVED_INSIDE_RUN,"'Tu ne pourrais compter ces ""Je t\'aime"". Tu serais noyée dans l\'Amour.'"
LDC.T11.1912-12-20.E001.P005,ldc_t11_1912_12_20_e001_p005,0,115,1,PRESERVED_INSIDE_RUN,"'À l\'âme qui vit dans Ma Volonté, Je peux dire : ""Les lois ne sont pas pour toi, il n\'y a pas de jugement pour toi.""'"
LDC.T11.1912-04-23.E001.P006,ldc_t11_1912_04_23_e001_p006,0,366,12,PRESERVED_INSIDE_RUN,"'Je te dis ""Je t\'aime, Je t\'aime, Je t\'aime"" dans la lumière qui remplit tes yeux, ""Je t\'aime"" dans l\'air que tu respires, ""Je t\'aime"""
LDC.T11.1915-11-11.E001.P006,ldc_t11_1915_11_11_e001_p006,0,391,1,PRESERVED_INSIDE_RUN,"'Plus ces âmes partagent Ma Blessure et Ma Vie, plus la Veine s\'agrandit. Elle devient si grande que ces âmes deviennent d\'autres Christ. "
LDC.T11.1912-03-03.E001.P007,ldc_t11_1912_03_03_e001_p007,0,247,1,PRESERVED_INSIDE_RUN,"'Tous les bienheureux sauront que cette âme est le fruit de Ma Volonté, le prodige de Ma Volonté. Et tout le Ciel jouira d\'un nouveau Parad"
LDC.T11.1912-04-23.E001.P007,ldc_t11_1912_04_23_e001_p007,0,177,8,PRESERVED_INSIDE_RUN,"'Je te redis ""Je t\'aime"" à chaque pensée de ton esprit, ""Je t\'aime"" à chaque geste de tes mains, ""Je t\'aime"" à chaque pas de tes pieds, """
LDC.T11.1912-04-23.E001.P009,ldc_t11_1912_04_23_e001_p009,0,36,2,PRESERVED_INSIDE_RUN,"'Un ""Je t\'aime"" n\'attend pas l\'autre.'"
LDC.T11.1914-03-17.E001.P009,ldc_t11_1914_03_17_e001_p009,0,100,4,PRESERVED_INSIDE_RUN,"'Il n\'y a pas de rideau séparateur entre elles et Nous, pas de ""nos"" ou de ""vos"". Tout est en commun.'"
LDC.T11.1912-02-26.E001.P010,ldc_t11_1912_02_26_e001_p010,0,374,1,PRESERVED_INSIDE_RUN,"'C\'est pour ton propre bien, ne Me vole pas ce qui est à Moi. La respiration est Mienne, ne respire que pour Moi. Le battement de cœur est "
LDC.T11.1912-04-23.E001.P010,ldc_t11_1912_04_23_e001_p010,0,56,2,PRESERVED_INSIDE_RUN,"'Et tes ""Je t\'aime"" à toi, combien y en a-t-il pour Moi ?'"
LDC.T11.1913-08-20.E001.P012,ldc_t11_1913_08_20_e001_p012,0,75,1,PRESERVED_INSIDE_RUN,"'À celui qui vit dans Ma Volonté, Je dis : ""Tu es Ma Vie, Mon Sang, Mes Os.""'"
LDC.T11.1915-08-24.E001.P012,ldc_t11_1915_08_24_e001_p012,0,145,2,PRESERVED_INSIDE_RUN,"'Comment les Paroles ""Faisons l\'homme à notre Image et à notre Ressemblance"" que J\'ai prononcées en créant l\'homme peuvent-elles être exp"
LDC.T11.1914-11-20.E001.P017,ldc_t11_1914_11_20_e001_p017,0,158,1,PRESERVED_INSIDE_RUN,"'Ton cœur sera rempli de Mes Souffrances. Il imprimera la marque de Ma Passion sur tout ton être. Et Je te répéterai sans cesse : ""Voici Ma "
LDC.T12.1920-05-01.E001.P002,ldc_t12_1920_05_01_e001_p002,31,252,3,PRESERVED_INSIDE_RUN,"'Ma fille, pour l\'âme qui vit dans Ma Volonté, la sainteté n\'a qu\'un seul but : un continuel ""Gloire au Père"" suivi de ""Comme il était au"
LDC.T12.1921-03-02.E001.P002,ldc_t12_1921_03_02_e001_p002,1,218,2,PRESERVED_INSIDE_RUN,"'Ma fille, le troisième Fiat, le ""que Ta Volonté soit faite sur la terre comme au Ciel"", sera comme l\'arc-en-ciel apparu dans le ciel après"
LDC.T12.1918-07-12.E001.P003,ldc_t12_1918_07_12_e001_p003,0,251,2,PRESERVED_INSIDE_RUN,"'Cette âme a fait les ""Heures de Ma Passion"". Et Je la recevrai comme une fille de Ma Passion, revêtue de Mon Sang et ornée de Mes Plaies. C"
LDC.T12.1919-02-24.E001.P003,ldc_t12_1919_02_24_e001_p003,0,325,2,PRESERVED_INSIDE_RUN,"'Dans l\'excès de son Amour, Il se plaça Lui-même au centre de l\'homme. Cependant, Il voulait y trouver une habitation digne de Lui. Que fi"
LDC.T12.1919-03-06.E001.P003,ldc_t12_1919_03_06_e001_p003,0,185,2,PRESERVED_INSIDE_RUN,"'Ce qui peut te paraître difficile est facile pour Moi. Néanmoins, il Me faut le ""oui"" de la créature et il faut qu\'elle se prête comme une"
LDC.T12.1920-01-24.E001.P003,ldc_t12_1920_01_24_e001_p003,0,188,1,PRESERVED_INSIDE_RUN,"'Quand J\'ai créé l\'homme, J\'ai dit : ""Il n\'est pas bon que l\'homme soit seul, créons une autre créature semblable à lui pour lui tenir "
LDC.T12.1920-05-01.E001.P003,ldc_t12_1920_05_01_e001_p003,0,230,3,PRESERVED_INSIDE_RUN,"'Il n\'y a rien par lequel cette âme ne rende pas Gloire à Dieu. Sa Sainteté n\'est pas sujette à des reculs, mais Elle règne toujours. Son "
LDC.T12.1920-12-22.E001.P003,ldc_t12_1920_12_22_e001_p003,1,80,2,PRESERVED_INSIDE_RUN,"'Ma fille, les simples mots "" Volonté Divine "" désignent la Puissance Créatrice.'"
LDC.T12.1921-01-10.E001.P003,ldc_t12_1921_01_10_e001_p003,0,73,2,PRESERVED_INSIDE_RUN,"'- de prononcer ton ""Fiat"" dans Ma Volonté. Et c\'est ainsi que tu as fait.'"
LDC.T12.1918-01-31.E001.P004,ldc_t12_1918_01_31_e001_p004,0,134,3,PRESERVED_INSIDE_RUN,"'Fonds-les de telle manière que tu puisses dire : ""ce qui est à Jésus est à Moi"" et que Je puisse dire : ""ce qui est à Luisa est à Moi.'"
LDC.T12.1920-01-24.E001.P004,ldc_t12_1920_01_24_e001_p004,0,284,1,PRESERVED_INSIDE_RUN,"'Avant de créer l\'homme, Je Me suis dit à Moi-même des paroles semblables : ""Je ne veux pas être seul. Je veux des créatures pour Me tenir "
LDC.T12.1921-02-22.E001.P004,ldc_t12_1921_02_22_e001_p004,0,199,6,PRESERVED_INSIDE_RUN,"'Après avoir dit ""Fiat Lux"" (""que la lumière soit"") et que la lumière se fut manifestée, et après avoir dit ""Fiat"" à toutes les autres chose"
LDC.T12.1917-08-06.E001.P005,ldc_t12_1917_08_06_e001_p005,0,215,1,PRESERVED_INSIDE_RUN,"'Jaloux de la sainteté de cette âme, Dieu la garde dans les profondeurs de son Cœur. Il lui dit : ""Personne ne te touchera, excepté Moi. Par"
LDC.T12.1918-08-07.E001.P005,ldc_t12_1918_08_07_e001_p005,0,171,1,PRESERVED_INSIDE_RUN,"'Je leur dis : ""Voyez combien Je vous aime. Mon immolation sur la Croix ne suffit pas à Mon Amour. Je veux aussi Me consumer d\'Amour pour v"
LDC.T12.1918-11-07.E001.P005,ldc_t12_1918_11_07_e001_p005,0,280,2,PRESERVED_INSIDE_RUN,"'Et quand elle veut quelque chose, Je lui dis : ""Tu as toujours fait Ma Volonté, c\'est juste que Je fasse parfois la tienne."" Par le fait q"
LDC.T12.1919-02-10.E001.P005,ldc_t12_1919_02_10_e001_p005,0,115,2,PRESERVED_INSIDE_RUN,"'Ma fille, c\'est Ma coutume de demander le ""oui"" de la créature pour pouvoir ensuite travailler librement avec elle.'"
LDC.T12.1921-01-24.E001.P005,ldc_t12_1921_01_24_e001_p005,0,273,1,PRESERVED_INSIDE_RUN,"'Et cette fois encore, une créature doit y participer. Et c\'est toi que J\'ai choisie. Ce troisième Fiat doit mener à leur achèvement les F"
LDC.T12.1921-02-08.E001.P005,ldc_t12_1921_02_08_e001_p005,13,364,2,PRESERVED_INSIDE_RUN,"'Ah ! Ma fille, les créatures se précipitent toujours plus dans le mal. Que de machinations elles ruminent et de ruines elles préparent ! El"
LDC.T12.1921-03-02.E001.P005,ldc_t12_1921_03_02_e001_p005,0,68,2,PRESERVED_INSIDE_RUN,"'Mon ""que Ta Volonté soit faite"" trouvera son achèvement en ces âmes.'"
LDC.T12.1917-03-06.E001.P006,ldc_t12_1917_03_06_e001_p006,0,219,2,PRESERVED_INSIDE_RUN,"'Quand les gens lisent les ""applications"" des Heures de Ma Passion, Je remplis ton âme jusqu\'à déborder et Je te parle de choses intimes do"
LDC.T12.1917-03-28.E001.P006,ldc_t12_1917_03_28_e001_p006,66,126,1,PRESERVED_INSIDE_RUN,"'Je ne peux pas te dire une plus belle parole que ""Je T\'aime.'"
LDC.T12.1918-05-23.E001.P006,ldc_t12_1918_05_23_e001_p006,0,205,2,PRESERVED_INSIDE_RUN,"'Sur tes ailes, apporte Mes ""Je T\'aime"" à d\'autres coeurs pour Me faire aimer. Viens ensuite dans Mon Cœur pour te reposer afin que, par l"
LDC.T12.1919-02-24.E001.P006,ldc_t12_1919_02_24_e001_p006,0,207,1,PRESERVED_INSIDE_RUN,"'Jaloux de ce prodige qu\'Il venait de créer, Il se fit son gardien. Il en prit possession en lui disant : ""J\'ai tout créé pour toi. Je te "
LDC.T12.1921-02-22.E001.P006,ldc_t12_1921_02_22_e001_p006,1,186,1,PRESERVED_INSIDE_RUN,"'Comme elle est belle cette Œuvre sortie de Moi. Je veux Me reposer en elle !"" Je fais de même avec les âmes : après leur avoir parlé, Je Me"
LDC.T12.1917-03-06.E001.P007,ldc_t12_1917_03_06_e001_p007,0,110,2,PRESERVED_INSIDE_RUN,"'Ces ""applications"" sont le miroir de Ma vie intérieure. Celui qui se modèle sur elles reproduit Ma Vie en lui.'"
LDC.T12.1917-03-18.E001.P007,ldc_t12_1917_03_18_e001_p007,0,256,1,PRESERVED_INSIDE_RUN,"'Je dis au Père : ""Mon Père, ce n\'est pas seulement Moi qui Te prie, fais réparation et T\'apaise, mais il y a des créatures qui font avec "
LDC.T12.1917-03-28.E001.P007,ldc_t12_1917_03_28_e001_p007,0,265,2,PRESERVED_INSIDE_RUN,"'Venant de Moi, ce ""Je T\'aime"" remplit le Ciel et la terre. Il circule chez les saints qui en reçoivent une gloire nouvelle. Il descend dan"
LDC.T12.1917-05-12.E001.P007,ldc_t12_1917_05_12_e001_p007,0,291,1,PRESERVED_INSIDE_RUN,"'Avec beaucoup plus de raisons encore, Je dirais à celui qui douterait de Mon Amour et craindrait d\'être damné : ""Qu\'est-ce à dire ? Je te"
LDC.T12.1917-10-04.E001.P007,ldc_t12_1917_10_04_e001_p007,0,191,2,PRESERVED_INSIDE_RUN,"'Ne te souviens-Tu pas que Je T\'ai dit : ""Laisse-Moi faire cela. Autrement, l\'homme atteindra un tel point dans le mal qu\'il épuisera le "
LDC.T12.1918-07-16.E001.P007,ldc_t12_1918_07_16_e001_p007,0,181,1,PRESERVED_INSIDE_RUN,"'Elles ne sont pas comme le soleil qui pourrait dire s\'il pouvait parler : ""Si Je le veux, Je peux m\'approprier toute chose, ce qui n\'emp"
LDC.T12.1918-10-16.E001.P007,ldc_t12_1918_10_16_e001_p007,1,195,1,PRESERVED_INSIDE_RUN,"""Calme-Toi, calme-Toi. C'est Moi, écoute-Moi. Te souviens-Tu que, dans les mois passés, quand tu pleurais avec Moi sur la pauvre Italie, Je "
LDC.T12.1918-12-04.E001.P007,ldc_t12_1918_12_04_e001_p007,0,161,1,PRESERVED_INSIDE_RUN,"'Quand Je te vois à Ma recherche à travers les tabernacles des églises, Je te dis : ""N\'es-Tu pas Ma vraie prison d\'Amour ? Cherche-Moi dan"
LDC.T12.1920-12-22.E001.P007,ldc_t12_1920_12_22_e001_p007,87,316,1,PRESERVED_INSIDE_RUN,"'Nous nous présentons devant la Majesté Suprême avec écrit sur nos fronts en caractères indélébiles : ""Nous voulons la mort pour donner la v"
LDC.T12.1921-02-22.E001.P007,ldc_t12_1921_02_22_e001_p007,19,42,2,PRESERVED_INSIDE_RUN,"'Disons ""Fiat"" ensemble.'"
