stable_ref,paragraph_id,speaker,run_start,run_end,source_segments_merged,presentation,run_text
LDC.T12.1920-05-01.E001.P002,ldc_t12_1920_05_01_e001_p002,JESUS,31,252,4,block,"'Ma fille, pour l\'âme qui vit dans Ma Volonté, la sainteté n\'a qu\'un seul but : un continuel ""Gloire au Père"" suivi d"
LDC.T12.1921-03-02.E001.P002,ldc_t12_1921_03_02_e001_p002,JESUS,1,218,3,inline,"'Ma fille, le troisième Fiat, le ""que Ta Volonté soit faite sur la terre comme au Ciel"", sera comme l\'arc-en-ciel appar"
LDC.T12.1918-04-08.E001.P003,ldc_t12_1918_04_08_e001_p003,JESUS,70,136,2,block,'Viens un moment dans Ma Volonté et tu verras la grande différence.'
LDC.T12.1918-07-12.E001.P003,ldc_t12_1918_07_12_e001_p003,JESUS,0,251,3,block,"'Cette âme a fait les ""Heures de Ma Passion"". Et Je la recevrai comme une fille de Ma Passion, revêtue de Mon Sang et or"
LDC.T12.1919-02-24.E001.P003,ldc_t12_1919_02_24_e001_p003,JESUS,0,325,3,block,"'Dans l\'excès de son Amour, Il se plaça Lui-même au centre de l\'homme. Cependant, Il voulait y trouver une habitation "
LDC.T12.1919-03-06.E001.P003,ldc_t12_1919_03_06_e001_p003,JESUS,0,185,3,block,"'Ce qui peut te paraître difficile est facile pour Moi. Néanmoins, il Me faut le ""oui"" de la créature et il faut qu\'ell"
LDC.T12.1920-01-24.E001.P003,ldc_t12_1920_01_24_e001_p003,JESUS,0,188,2,block,"'Quand J\'ai créé l\'homme, J\'ai dit : ""Il n\'est pas bon que l\'homme soit seul, créons une autre créature semblable à"
LDC.T12.1920-05-01.E001.P003,ldc_t12_1920_05_01_e001_p003,JESUS,0,230,4,block,"'Il n\'y a rien par lequel cette âme ne rende pas Gloire à Dieu. Sa Sainteté n\'est pas sujette à des reculs, mais Elle "
LDC.T12.1920-12-22.E001.P003,ldc_t12_1920_12_22_e001_p003,JESUS,1,80,3,inline,"'Ma fille, les simples mots "" Volonté Divine "" désignent la Puissance Créatrice.'"
LDC.T12.1921-01-10.E001.P003,ldc_t12_1921_01_10_e001_p003,JESUS,0,73,3,block,"'- de prononcer ton ""Fiat"" dans Ma Volonté. Et c\'est ainsi que tu as fait.'"
LDC.T12.1917-03-18.E001.P004,ldc_t12_1917_03_18_e001_p004,JESUS,0,301,2,block,"'Ainsi, chacune de leurs pensées se reflétait dans Mon Esprit, chacun de leurs mots dans Ma Voix, chacun de leurs battem"
LDC.T12.1918-01-31.E001.P004,ldc_t12_1918_01_31_e001_p004,JESUS,0,134,4,block,"'Fonds-les de telle manière que tu puisses dire : ""ce qui est à Jésus est à Moi"" et que Je puisse dire : ""ce qui est à L"
LDC.T12.1918-11-15.E001.P004,ldc_t12_1918_11_15_e001_p004,JESUS,0,255,2,block,"""Fou d'Amour pour elle, Je la fais vivre aux crochets de Ma Sainteté, de Mes Désirs, de Mon Amour, de Ma Force, de Mon S"
LDC.T12.1920-01-24.E001.P004,ldc_t12_1920_01_24_e001_p004,JESUS,0,284,2,block,"'Avant de créer l\'homme, Je Me suis dit à Moi-même des paroles semblables : ""Je ne veux pas être seul. Je veux des créa"
LDC.T12.1921-02-22.E001.P004,ldc_t12_1921_02_22_e001_p004,JESUS,0,199,6,block,"'Après avoir dit ""Fiat Lux"" (""que la lumière soit"") et que la lumière se fut manifestée, et après avoir dit ""Fiat"" à tou"
LDC.T12.1917-08-06.E001.P005,ldc_t12_1917_08_06_e001_p005,JESUS,0,215,2,block,"'Jaloux de la sainteté de cette âme, Dieu la garde dans les profondeurs de son Cœur. Il lui dit : ""Personne ne te touche"
LDC.T12.1918-08-07.E001.P005,ldc_t12_1918_08_07_e001_p005,JESUS,0,171,2,block,"'Je leur dis : ""Voyez combien Je vous aime. Mon immolation sur la Croix ne suffit pas à Mon Amour. Je veux aussi Me cons"
LDC.T12.1918-11-07.E001.P005,ldc_t12_1918_11_07_e001_p005,JESUS,0,280,3,block,"'Et quand elle veut quelque chose, Je lui dis : ""Tu as toujours fait Ma Volonté, c\'est juste que Je fasse parfois la ti"
LDC.T12.1919-02-10.E001.P005,ldc_t12_1919_02_10_e001_p005,JESUS,0,115,3,block,"'Ma fille, c\'est Ma coutume de demander le ""oui"" de la créature pour pouvoir ensuite travailler librement avec elle.'"
LDC.T12.1921-01-24.E001.P005,ldc_t12_1921_01_24_e001_p005,JESUS,0,273,2,block,"'Et cette fois encore, une créature doit y participer. Et c\'est toi que J\'ai choisie. Ce troisième Fiat doit mener à l"
LDC.T12.1921-02-08.E001.P005,ldc_t12_1921_02_08_e001_p005,JESUS,13,364,3,block,"'Ah ! Ma fille, les créatures se précipitent toujours plus dans le mal. Que de machinations elles ruminent et de ruines "
LDC.T12.1921-03-02.E001.P005,ldc_t12_1921_03_02_e001_p005,JESUS,0,68,3,block,"'Mon ""que Ta Volonté soit faite"" trouvera son achèvement en ces âmes.'"
LDC.T12.1917-03-06.E001.P006,ldc_t12_1917_03_06_e001_p006,JESUS,0,219,3,block,"'Quand les gens lisent les ""applications"" des Heures de Ma Passion, Je remplis ton âme jusqu\'à déborder et Je te parle "
LDC.T12.1917-03-28.E001.P006,ldc_t12_1917_03_28_e001_p006,JESUS,66,126,2,block,"'Je ne peux pas te dire une plus belle parole que ""Je T\'aime.'"
LDC.T12.1918-05-23.E001.P006,ldc_t12_1918_05_23_e001_p006,JESUS,0,205,3,block,"'Sur tes ailes, apporte Mes ""Je T\'aime"" à d\'autres coeurs pour Me faire aimer. Viens ensuite dans Mon Cœur pour te rep"
LDC.T12.1919-02-24.E001.P006,ldc_t12_1919_02_24_e001_p006,JESUS,0,207,2,block,"'Jaloux de ce prodige qu\'Il venait de créer, Il se fit son gardien. Il en prit possession en lui disant : ""J\'ai tout c"
LDC.T12.1921-02-22.E001.P006,ldc_t12_1921_02_22_e001_p006,JESUS,1,186,2,inline,"'Comme elle est belle cette Œuvre sortie de Moi. Je veux Me reposer en elle !"" Je fais de même avec les âmes : après leu"
LDC.T12.1917-03-06.E001.P007,ldc_t12_1917_03_06_e001_p007,JESUS,0,110,3,block,"'Ces ""applications"" sont le miroir de Ma vie intérieure. Celui qui se modèle sur elles reproduit Ma Vie en lui.'"
LDC.T12.1917-03-18.E001.P007,ldc_t12_1917_03_18_e001_p007,JESUS,0,256,2,block,"'Je dis au Père : ""Mon Père, ce n\'est pas seulement Moi qui Te prie, fais réparation et T\'apaise, mais il y a des créa"
LDC.T12.1917-03-28.E001.P007,ldc_t12_1917_03_28_e001_p007,JESUS,0,265,3,block,"'Venant de Moi, ce ""Je T\'aime"" remplit le Ciel et la terre. Il circule chez les saints qui en reçoivent une gloire nouv"
LDC.T12.1917-05-12.E001.P007,ldc_t12_1917_05_12_e001_p007,JESUS,0,291,2,block,"'Avec beaucoup plus de raisons encore, Je dirais à celui qui douterait de Mon Amour et craindrait d\'être damné : ""Qu\'e"
LDC.T12.1917-10-04.E001.P007,ldc_t12_1917_10_04_e001_p007,JESUS,0,191,3,block,"'Ne te souviens-Tu pas que Je T\'ai dit : ""Laisse-Moi faire cela. Autrement, l\'homme atteindra un tel point dans le mal"
LDC.T12.1918-07-16.E001.P007,ldc_t12_1918_07_16_e001_p007,JESUS,0,181,2,block,"'Elles ne sont pas comme le soleil qui pourrait dire s\'il pouvait parler : ""Si Je le veux, Je peux m\'approprier toute "
LDC.T12.1918-10-16.E001.P007,ldc_t12_1918_10_16_e001_p007,JESUS,1,195,2,inline,"""Calme-Toi, calme-Toi. C'est Moi, écoute-Moi. Te souviens-Tu que, dans les mois passés, quand tu pleurais avec Moi sur l"
LDC.T12.1918-12-04.E001.P007,ldc_t12_1918_12_04_e001_p007,JESUS,0,161,2,block,"'Quand Je te vois à Ma recherche à travers les tabernacles des églises, Je te dis : ""N\'es-Tu pas Ma vraie prison d\'Amo"
LDC.T12.1920-12-22.E001.P007,ldc_t12_1920_12_22_e001_p007,JESUS,87,316,2,block,"'Nous nous présentons devant la Majesté Suprême avec écrit sur nos fronts en caractères indélébiles : ""Nous voulons la m"
LDC.T12.1921-02-22.E001.P007,ldc_t12_1921_02_22_e001_p007,JESUS,19,42,3,block,"'Disons ""Fiat"" ensemble.'"
LDC.T12.1921-03-02.E001.P007,ldc_t12_1921_03_02_e001_p007,JESUS,0,101,2,block,"'le troisième Fiat fera descendre Ma Volonté dans les âmes où Elle régnera ""sur la terre comme au Ciel'"
LDC.T12.1917-03-28.E001.P008,ldc_t12_1917_03_28_e001_p008,JESUS,0,252,3,block,'Il pénètre dans le purgatoire et répand sur les âmes qui s\'y trouvent une rosée bénéfique et rafraîchissante. Même les
LDC.T12.1917-12-30.E001.P008,ldc_t12_1917_12_30_e001_p008,JESUS,0,133,2,block,"'Ah ! Ma fille, J\'ai tout donné aux créatures en leur disant : ""Prenez tout ce que vous voulez, mais laissez-Moi seulem"
LDC.T12.1918-05-23.E001.P008,ldc_t12_1918_05_23_e001_p008,JESUS,52,102,2,block,'Je te laisse le souffle de Ma Volonté. Endors-Toi.'
LDC.T12.1919-01-04.E001.P008,ldc_t12_1919_01_04_e001_p008,JESUS,129,267,2,inline,"'Ma Volonté coula aussi dans toutes les créatures. Et ta souffrance a touché tous les coeurs en disant à chacun : ""Sois "
LDC.T12.1917-03-28.E001.P009,ldc_t12_1917_03_28_e001_p009,JESUS,1,149,3,inline,"'Sais-Tu quand l\'âme attire vers elle un ""Je T\'aime"" de Ma part ? Quand, se fondant en Moi, elle prend l\'attitude div"
LDC.T12.1918-03-16.E001.P010,ldc_t12_1918_03_16_e001_p010,JESUS,0,202,3,block,"'Je T\'ai fait grandir dans Ma Volonté et tu es une partie de Moi-même. Je te garderai et dirai à chacun : ""Personne d\'"
LDC.T12.1920-01-09.E001.P010,ldc_t12_1920_01_09_e001_p010,JESUS,0,150,2,block,"'En plus de sa lumière, le soleil prodigue sa chaleur. Impatient de recevoir l\'amour des créatures, Je leur dis par cet"
LDC.T12.1920-09-25.E001.P010,ldc_t12_1920_09_25_e001_p010,JESUS,38,125,2,block,"""Il y a un instant, Ma Mère était ici et T'a serrée dans ses bras avec beaucoup d'amour."""
LDC.T12.1920-12-18.E001.P010,ldc_t12_1920_12_18_e001_p010,JESUS,13,259,2,block,"""Si ce n'est pas le cas, rien n'est terminé. Ma Justice et Mon Amour ressentaient le besoin de ce retour. Parce que les "
LDC.T12.1919-02-20.E001.P011,ldc_t12_1919_02_20_e001_p011,JESUS,0,121,2,block,"'Avec son oeil lumineux et chercheur, le soleil semble dire à tous : ""Je suis le prêcheur le plus parfait de l\'Être Div"
LDC.T12.1917-12-06.E001.P012,ldc_t12_1917_12_06_e001_p012,JESUS,0,245,2,block,"'Il aurait pu Me dire : ""Tu n\'as pas tout fait pour chaque créature, Ton travail n\'est pas complet. Je ne peux reconna"
LDC.T12.1919-05-22.E001.P012,ldc_t12_1919_05_22_e001_p012,JESUS,0,126,3,block,"'À la suite de cette prière, Je ressentirai en toi l\'adoration, les ""Je T\'aime"", les baisers, etc. de toute la famille"
LDC.T12.1920-01-09.E001.P012,ldc_t12_1920_01_09_e001_p012,JESUS,0,205,2,block,'Le firmament déployé au-dessus de vos têtes vous rappelle continuellement Mon Amour. Chacun des clignotements d\'étoile
LDC.T12.1917-11-27.E001.P013,ldc_t12_1917_11_27_e001_p013,JESUS,0,134,3,block,"'Alors, la terre Me donnera une vraie gloire et Mon ""Fiat Voluntas tua"" sur la terre comme au Ciel connaîtra son total a"
LDC.T12.1919-01-08.E001.P013,ldc_t12_1919_01_08_e001_p013,JESUS,0,289,3,block,"'Et si tu cries très fort ""Je T\'aime !"", J\'entendrai dans ce cri la musique de Mon Amour éternel et Je sentirai l\'amo"
LDC.T12.1919-12-06.E001.P013,ldc_t12_1919_12_06_e001_p013,JESUS,0,167,2,block,"'Présent dans le ciel de son âme, Je lui dis : ""Mon fils, plus tu deviens beau, plus tu Me fais plaisir. J\'aime tant ta"
LDC.T12.1919-02-10.E001.P014,ldc_t12_1919_02_10_e001_p014,JESUS,1,157,3,inline,"'Je veux maintenant te parer et te vêtir comme Moi-même, afin que ton ""oui"" se joigne au Mien, pour accomplir Ma propre "
LDC.T12.1921-01-17.E001.P014,ldc_t12_1921_01_17_e001_p014,JESUS,0,236,4,block,"'Le ""Fiat Voluntas tua sicut in Coelo et in terra"" -""que Ta Volonté soit faite sur la terre comme au Ciel""-, que J\'ai e"
LDC.T12.1919-06-04.E001.P015,ldc_t12_1919_06_04_e001_p015,JESUS,0,271,3,block,"'Ainsi, J\'ai déployé un Ciel dans les profondeurs de ton âme. Et le ""fiat"" du bien produit par toi, car tout bien est u"
LDC.T12.1921-03-17.E001.P015,ldc_t12_1921_03_17_e001_p015,JESUS,0,153,3,block,"'Après T\'avoir bien instruite, Je T\'ai manifesté ta mission et comment l\'accomplissement du ""Fiat Voluntas Tua"" sur l"
LDC.T12.1917-12-30.E001.P016,ldc_t12_1917_12_30_e001_p016,JESUS,0,118,2,block,"'Je leur dis avec Mon Cœur chagriné : ""Voleurs, partez, quittez Mon sanctuaire parce que Je ne peux plus vous tolérer !'"
LDC.T12.1921-01-17.E001.P016,ldc_t12_1921_01_17_e001_p016,JESUS,0,199,2,block,"'Je veux voir dans une âme Mon propre Fiat qui s\'élève jusqu\'à Mon Trône et qui, par Ma Puissance créatrice, apporte à"
LDC.T12.1917-10-04.E001.P017,ldc_t12_1917_10_04_e001_p017,JESUS,0,138,2,block,"'Pendant que Je souffrais, Je disais : ""Ma souffrance, cours, va à la recherche de l\'homme ! Aide-le et sois sa force d"
LDC.T12.1919-08-06.E001.P017,ldc_t12_1919_08_06_e001_p017,JESUS,0,112,2,block,"""Les plus petits Actes faits dans Ma Volonté s'inscrivent dans le Ciel, en caractères indélébiles, en se disant :"""
LDC.T12.1920-03-19.E001.P017,ldc_t12_1920_03_19_e001_p017,JESUS,0,97,3,block,"'Eh bien ! sache que ce ""oui"" prononcé par toi existe et existera toujours, tout comme Ma Volonté.'"
LDC.T12.1920-11-28.E001.P017,ldc_t12_1920_11_28_e001_p017,JESUS,0,234,2,block,"'À travers toute chose, ils entendraient Ma Parole créatrice leur dire : ""Je vous bénis au nom du Père, de Moi-même et d"
LDC.T12.1917-10-04.E001.P018,ldc_t12_1917_10_04_e001_p018,JESUS,0,102,2,block,"'Pendant que Je répandais Mon Sang, Je disais à chaque goutte : ""Cours, cours, sauve l\'homme pour Moi !'"
LDC.T12.1918-08-12.E001.P018,ldc_t12_1918_08_12_e001_p018,JESUS,0,105,2,block,"'Je suis heureux de cela et Je Me dis en Moi-même : ""C\'est le pain de Ma fille que Je donne à Mes enfants.'"
LDC.T12.1920-03-19.E001.P018,ldc_t12_1920_03_19_e001_p018,JESUS,0,90,3,block,"'Avec ce ""oui"", ta vie personnelle a pris fin. Ta volonté ne doit plus vivre par elle-même.'"
LDC.T12.1917-12-30.E001.P019,ldc_t12_1917_12_30_e001_p019,JESUS,0,143,3,block,"'Alors, il dira : ""Je suis aveugle et Je ne sais plus quoi faire !"" L\'épée dévastatrice continuera son travail jusqu\'à"
LDC.T12.1919-03-14.E001.P019,ldc_t12_1919_03_14_e001_p019,JESUS,0,257,3,block,"'Nous nous présenterons ensemble devant le Trône de l\'Éternel avec, sur nos fronts, écrit en caractères indélébiles : -"
LDC.T12.1917-10-04.E001.P020,ldc_t12_1917_10_04_e001_p020,JESUS,0,233,2,block,"'Pendant la flagellation, alors que se formaient les Plaies de Mon corps, Je répétais : ""Mes Plaies, ne restez pas avec "
LDC.T12.1920-03-19.E001.P022,ldc_t12_1920_03_19_e001_p022,JESUS,0,111,2,block,"'Et si tu ne M\'écoutais pas, Je te dirais tout affligé : ""Si tu ne veux pas Me suivre, Je ferai les choses seul.'"
LDC.T12.1921-01-17.E001.P023,ldc_t12_1921_01_17_e001_p023,JESUS,0,267,2,block,"'Il appelle le petit, l\'incapable, et lui confie le gros montant, en se disant : ""Si Je confie le magot au géant, tous "
LDC.T13.E0004.P007,LDC.T13.E0004.P007,JESUS,0,139,3,block,"'Cependant, quiconque vit dans Ma Volonté, quiconque vit le ""que Ta Volonté soit faite"" est immergé dans les Mers immens"
LDC.T13.E0006.P009,LDC.T13.E0006.P009,JESUS,1,338,2,inline,'Celui qui vit dans Ma Volonté doit être comme le centre de tout. Regarde le soleil : tu peux voir le centre de sa lumiè
LDC.T13.E0010A.P019,LDC.T13.E0010A.P019,JESUS,0,143,3,block,"'- les Supplications de leur ""mère"" (c\'est-à-dire l\'âme d\'où ils proviennent), laquelle veut leur salut et souhaite q"
LDC.T13.E0003.P021,LDC.T13.E0003.P021,JESUS,0,157,3,block,"'Je leur ai uniquement enseigné comment prier le ""que Ta Volonté soit faite sur la terre comme au Ciel"", afin qu\'elles "
LDC.T13.E0004.P023,LDC.T13.E0004.P023,JESUS,0,176,3,block,"""Au contraire, par Mon troisième Fiat, la créature plonge sa vie dans Ma Volonté et Je deviens le centre de sa vie. C'es"
LDC.T13.E0050.P024,LDC.T13.E0050.P024,JESUS,1,319,2,inline,"'Travaille avec Moi dans Ma Volonté. Ce qui est à Moi est à toi. Si tu as quelque chose qui t\'appartienne, laisse-le. P"
LDC.T13.E0054.P026,LDC.T13.E0054.P026,JESUS,194,292,2,inline,"'. Plus que pour le soleil, les actes accomplis dans Ma Volonté sont désirés et réclamés par tous :'"
LDC.T13.E0026.P028,LDC.T13.E0026.P028,JESUS,0,194,2,block,'Oh ! Comme la noirceur lourde que Je subissais Me fit sentir toute la noirceur que le péché a produit chez l\'homme ! O
LDC.T13.E0034.P035,LDC.T13.E0034.P035,JESUS,0,61,2,block,"'Puis, avec une Joie sans fin, Je dis : ""Contemple Mes Images.'"
LDC.T13.E0027.P039,LDC.T13.E0027.P039,JESUS,0,150,2,block,"'Je te suivrai comme une ombre et Je ne te quitterai jamais."" En donnant Vie à la créature, Mon seul objectif était qu\'"
LDC.T14.E0032.P004,LDC.T14.E0032.P004,JESUS,1,111,2,inline,"'Mon Royaume n\'est pas de ce monde. S\'il était de ce monde, des légions d\'anges Me défendraient."" Par ces mots,'"
LDC.T14.E0020.P007,LDC.T14.E0020.P007,JESUS,0,312,5,block,'Il avait laissé des avenues ouvertes entre lui-même et la volonté humaine afin que cette dernière puisse s\'enrichir à 
LDC.T14.E0032.P009,LDC.T14.E0032.P009,JESUS,1,214,2,inline,"'Oui, Je suis Roi. Et Je suis venu en ce monde pour révéler la Vérité."" Par ces mots, J\'ai voulu ouvrir une voie dans s"
LDC.T14.E0038.P010,LDC.T14.E0038.P010,JESUS,0,562,3,block,"""Pourtant, les hommes le voient et jouissent de ses effets. Sa chaleur et sa lumière les suivent partout. Et si quelqu'u"
LDC.T14.E0032.P016,LDC.T14.E0032.P016,JESUS,0,220,2,block,"'Elle rend honteux ses ennemis. Elle les fait tomber à ses pieds."" Pilate M\'a interrogé avec sincérité et Je lui ai rép"
LDC.T14.E0039.P016,LDC.T14.E0039.P016,JESUS,0,78,4,block,"'L\'homme ingrat Me laisse seul, ne M\'offrant jamais un ""merci"" ou un ""Je t\'aime'"
LDC.T14.E0042.P019,LDC.T14.E0042.P019,JESUS,1,50,2,inline,"""à l'image et à la ressemblance» de leur Créateur."""
LDC.T14.E0008.P020,LDC.T14.E0008.P020,JESUS,0,126,3,block,"""C'est pourquoi l'Église s'exclame : «Heureuse faute !» À la suite du péché, la Rédemption est venue, par laquelle Mon H"
LDC.T14.E0042.P020,LDC.T14.E0042.P020,JESUS,1,663,2,inline,"""Ce sera le commencement de Mon Règne sur la terre comme au Ciel». Crois-tu que c'est une petite chose que de vivre dans"
LDC.T14.E0066.P024,LDC.T14.E0066.P024,JESUS,0,432,3,block,'Le temps est venu et Je cherche une âme prête à recevoir la première naissance afin qu\'après Je puisse continuer à liv
LDC.T14.E0019.P033,LDC.T14.E0019.P033,JESUS,1,196,2,inline,"'Je t\'ai donné le soleil, les étoiles, les fleurs, l\'eau et le feu pour t\'exprimer Mon amour."" Reconnaissant cela, tu"
LDC.T15.E0004.P003,LDC.T15.E0004.P003,JESUS,0,339,3,block,"'Quoiqu\'il soit juste de dire que le Verbe a été conçu, le Père Céleste et le Saint-Esprit demeurent inséparables de Mo"
LDC.T15.E0015.P003,LDC.T15.E0015.P003,JESUS,1,103,2,inline,"'Ma fille, Ma fille, ne crains pas. Rien n\'est fini entre toi et Moi. Ton Jésus est toujours ""Ton Jésus'"
LDC.T15.E0004.P010,LDC.T15.E0004.P010,JESUS,0,171,3,block,"'En vivant toujours dans Ma Volonté, Ma chère Mère prépara dans son sein virginal le minuscule ""Terrain Divin"" où Moi, l"
LDC.T15.E0001.P013,LDC.T15.E0001.P013,JESUS,0,112,3,block,"'Uniquement par Ma Volonté, on pourra dire : ""Tout est accompli."" Voilà pourquoi Je désire tant que soient connus'"
LDC.T15.E0022.P013,LDC.T15.E0022.P013,JESUS,0,174,4,block,"'Quand Mon ""Fiat Voluntas tua"" (""que ta Volonté soit faite"") connaîtra son accomplissement sur la terre comme au Ciel, a"
LDC.T15.E0022.P015,LDC.T15.E0022.P015,JESUS,0,77,2,block,"'Au nom de tous J\'ai dit : ""Notre Père, Je te prie pour trois genres de pains.'"
LDC.T15.E0037.P021,LDC.T15.E0037.P021,JESUS,0,212,3,block,"'En ce qui concerne Mes ministres, ils doivent recevoir ces choses de toi, afin que le ""Fiat Voluntas tua"" sur la terre "
LDC.T15.E0022.P026,LDC.T15.E0022.P026,JESUS,1,60,2,inline,"'Donne-nous notre pain matériel de ce jour"" puisque l\'homme,'"
LDC.T15.E0016.P028,LDC.T15.E0016.P028,JESUS,0,262,3,block,"'Je pourrais leur dire : "" Je n\'ai rien à vous donner. Quelle volonté vous animait dans vos actes et vos souffrances ? "
LDC.T15.E0022.P036,LDC.T15.E0022.P036,JESUS,1,172,2,inline,"'Pardonne-nous nos offenses comme nous pardonnons à ceux qui nous ont offensés."" Quand ta Volonté sera accomplie sur la "
LDC.T15.E0037.P038,LDC.T15.E0037.P038,JESUS,0,84,3,block,"'Par trois fois, la Divinité a agi ""ad extra"" : La première fois, lors de la Création'"
LDC.T15.E0036.P039,LDC.T15.E0036.P039,JESUS,0,118,3,block,"'J\'ai voulu lui donner une autre leçon sublime en disant : ""Oui, Je suis roi."" Par cette réponse, J\'ai voulu lui dire "
LDC.T15.E0022.P042,LDC.T15.E0022.P042,JESUS,0,138,3,block,"'J\'ai continué par les mots ""Ne nous laisse pas succomber à la tentation."" Parce que l\'homme est toujours l\'homme, po"
LDC.T15.E0022.P045,LDC.T15.E0022.P045,JESUS,0,102,2,block,"'- en vertu de ce même pain, délivre-nous du mal. Amen."" Observe comment on trouve ici un lien avec le.'"
LDC.T15.E0022.P050,LDC.T15.E0022.P050,JESUS,0,101,3,block,"'- pourquoi le ""Que ta Volonté soit faite sur la terre comme au Ciel"" est Ma première préoccupation et'"
LDC.T15.E0036.P060,LDC.T15.E0036.P060,JESUS,0,224,2,block,"'Dans Mon Royaume, il y a une Vie véritable."" Que de profonds mystères se cachent dans Mes Paroles ! Dans ses souffrance"
LDC.T15.E0022.P064,LDC.T15.E0022.P064,JESUS,0,88,3,block,"""- le « que ta Volonté soit faite sur la terre comme au Ciel » ne pourra pas s'accomplir."""
LDC.T15.E0037.P067,LDC.T15.E0037.P067,JESUS,0,181,3,block,"'J\'ai procédé de la même manière avec toi : comme l\'Église entière doit participer au ""Fiat Voluntas Tua"", Je t\'ai co"
LDC.T16.E0032.P004,LDC.T16.E0032.P004,JESUS,1,124,2,inline,"'Père, s\'il est possible, que cette coupe passe loin de Moi"" ? Pas du tout. Il s\'agissait de la coupe de la volonté hu"
